day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3463,"SARAH WILDE (CONTEMPORARY AMERICAN)",1000,1500,500,3,3,https://live.thomastonauction.com/auction-lot/sarah-wilde-contemporary-american_dadc1155b4
day3,3411,"SCOTT MOORE (ME/DC, 1953 - )",750,1000,250,3,5,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_12bbb39472
day3,3406,"SCOTT MOORE (ME/DC, 1953 - )",500,700,100,3,4,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_16777189d2
day3,3410,"SCOTT MOORE (ME/DC, 1953 - )",1200,1500,600,3,6,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_314ab5c630
day3,3407,"SCOTT MOORE (ME/DC, 1953 - )",1200,1500,600,3,4,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_71526fb1b3
day3,3408,"SCOTT MOORE (ME/DC, 1953 - )",1200,1500,600,3,3,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_78853ef00d
day3,3409,"SCOTT MOORE (ME/DC, 1953 - )",1200,1500,600,3,4,https://live.thomastonauction.com/auction-lot/scott-moore-me-dc-1953_fd846e5340
day3,3133,"SEARS GALLAGHER (MA, 1869-1955)",1000,1200,500,3,3,https://live.thomastonauction.com/auction-lot/sears-gallagher-ma-1869-1955_eb7a77a832
day3,3192,"SEIKO ""CAPTAIN WILLARD"" AUTOMATIC DIVE WATCH",2000,3000,1000,3,3,https://live.thomastonauction.com/auction-lot/seiko-captain-willard-automatic-dive-watch_7a6c9f36ab
day3,3330,"SERGIO HIGINIO GONZALEZ-TORNERO (NY/CHILE, 1927-2020)",600,800,250,3,5,https://live.thomastonauction.com/auction-lot/sergio-higinio-gonzalez-tornero-ny-chile-1927-2020_9fc0bab597
day3,3216,"SET OF (12) REGENCY STYLE SPIDER WEB CANE CHAIRS",1200,1800,600,3,4,https://live.thomastonauction.com/auction-lot/set-of-12-regency-style-spider-web-cane-chairs_caf350a83a
day3,3318,"(SET OF 4) VERDIGRIS IRON GARDEN CHAIRS",300,500,100,3,4,https://live.thomastonauction.com/auction-lot/set-of-4-verdigris-iron-garden-chairs_fafafc84ea
day3,3215,"(SET OF 7) D.R. DIMES WINDSOR CHAIRS IN BLACK PAINT",2000,2500,1000,3,3,https://live.thomastonauction.com/auction-lot/set-of-7-d-r-dimes-windsor-chairs-in-black-paint_30cc802de0
day3,3044,"SMALL CAST STONE NUDE TORSO OF WOMAN",300,400,100,3,2,https://live.thomastonauction.com/auction-lot/small-cast-stone-nude-torso-of-woman_21b324092f
day3,3111,"STAN PHILLIPS (NY/MA, 1923-2012)",2000,3000,1000,3,4,https://live.thomastonauction.com/auction-lot/stan-phillips-ny-ma-1923-2012_c2f6f23a14
day3,3114,"STEPHAN ABEL SINDING (FRANCE/NORWAY, 1846-1922)",2000,3000,1000,3,5,https://live.thomastonauction.com/auction-lot/stephan-abel-sinding-france-norway-1846-1922_a776388cb6
day3,3275,"THOMAS MOLESWORTH (KS, 1890-1977) CHAIR",7000,10000,3500,3,6,https://live.thomastonauction.com/auction-lot/thomas-molesworth-ks-1890-1977-chair_0e237b52c0
